texto,comando,resposta_item,opcoes
"Broughton se junta a Sopraviva Trekking para oferecer doze dias de aventura inesquecível em uma floresta tropical.Dependendo de onde a aventura da floresta tropical deste ano está localizada, você pode estar indo para Bornéu, Malásia, Indonésia, ou até mesmo para a maior floresta tropical de todos eles, a floresta amazônica poderosa. Você voará com seus companheiros aventureiros para um dos nossos acampamentos de base especiais na borda da floresta, onde você será cinco dias de treinamento local treinamento de sobrevivência, e fala sobre a vida selvagem local por especialistas treinados e experientes.Você também vai fazer caminhadas que levam você mais e mais fundo sob o dossel da floresta até que em sua última noite você acampar na própria floresta tropical. Então você transferir de ônibus para a própria floresta.Se você for em um dos feriados asiáticos, você terá que caminhar as milhas finais para o próprio local do acampamento, para evitar perturbar a ecologia local.Todos os sites Sopraviva foram construídos cuidadosamente conformar Foi cuidadosamente construído para estar em conformidade com os regulamentos mais recentes, e para causar a quantidade mínima de perturbação para a vida selvagem local. Do acampamento, você vai fazer passeios diários a pé para experimentar por si mesmo a beleza e diversidade das florestas, e plantas e vegetação que não podem ser encontradas em nenhum outro lugar do planeta. Lembre-se que essas férias de aventura levá-lo profundamente no deserto, e eles não são adequados para famílias com crianças pequenas ou para qualquer pessoa que não é fisicamente capaz de atender às demandas de Também lembre-se de que, a fim de preservar o delicado sistema ecológico que você estará andando, não mais do que duas dúzias de hóspedes podem ficar em qualquer acampamento de uma só vez, por isso, se você quiser ir em um desses feriados muito especiais, você precisará reservar cedo!",Faça passeios diários a pé e você vai gostar _ .,A,"['o deserto', 'a floresta amazônica', 'a floresta asiática', 'o dossel da floresta']"
"Broughton se junta a Sopraviva Trekking para oferecer doze dias de aventura inesquecível em uma floresta tropical.Dependendo de onde a aventura da floresta tropical deste ano está localizada, você pode estar indo para Bornéu, Malásia, Indonésia, ou até mesmo para a maior floresta tropical de todos eles, a floresta amazônica poderosa. Você voará com seus companheiros aventureiros para um dos nossos acampamentos de base especiais na borda da floresta, onde você será cinco dias de treinamento local treinamento de sobrevivência, e fala sobre a vida selvagem local por especialistas treinados e experientes.Você também vai fazer caminhadas que levam você mais e mais fundo sob o dossel da floresta até que em sua última noite você acampar na própria floresta tropical. Então você transferir de ônibus para a própria floresta.Se você for em um dos feriados asiáticos, você terá que caminhar as milhas finais para o próprio local do acampamento, para evitar perturbar a ecologia local.Todos os sites Sopraviva foram construídos cuidadosamente conformar Foi cuidadosamente construído para estar em conformidade com os regulamentos mais recentes, e para causar a quantidade mínima de perturbação para a vida selvagem local. Do acampamento, você vai fazer passeios diários a pé para experimentar por si mesmo a beleza e diversidade das florestas, e plantas e vegetação que não podem ser encontradas em nenhum outro lugar do planeta. Lembre-se que essas férias de aventura levá-lo profundamente no deserto, e eles não são adequados para famílias com crianças pequenas ou para qualquer pessoa que não é fisicamente capaz de atender às demandas de Também lembre-se de que, a fim de preservar o delicado sistema ecológico que você estará andando, não mais do que duas dúzias de hóspedes podem ficar em qualquer acampamento de uma só vez, por isso, se você quiser ir em um desses feriados muito especiais, você precisará reservar cedo!",Qual das seguintes pessoas tem/tem permissão para entrar na floresta?,C,"['Uma família com crianças pequenas.', 'Uma pessoa com problemas físicos.', 'Turistas a pé', 'Ciclistas.']"
"Broughton se junta a Sopraviva Trekking para oferecer doze dias de aventura inesquecível em uma floresta tropical.Dependendo de onde a aventura da floresta tropical deste ano está localizada, você pode estar indo para Bornéu, Malásia, Indonésia, ou até mesmo para a maior floresta tropical de todos eles, a floresta amazônica poderosa. Você voará com seus companheiros aventureiros para um dos nossos acampamentos de base especiais na borda da floresta, onde você será cinco dias de treinamento local treinamento de sobrevivência, e fala sobre a vida selvagem local por especialistas treinados e experientes.Você também vai fazer caminhadas que levam você mais e mais fundo sob o dossel da floresta até que em sua última noite você acampar na própria floresta tropical. Então você transferir de ônibus para a própria floresta.Se você for em um dos feriados asiáticos, você terá que caminhar as milhas finais para o próprio local do acampamento, para evitar perturbar a ecologia local.Todos os sites Sopraviva foram construídos cuidadosamente conformar Foi cuidadosamente construído para estar em conformidade com os regulamentos mais recentes, e para causar a quantidade mínima de perturbação para a vida selvagem local. Do acampamento, você vai fazer passeios diários a pé para experimentar por si mesmo a beleza e diversidade das florestas, e plantas e vegetação que não podem ser encontradas em nenhum outro lugar do planeta. Lembre-se que essas férias de aventura levá-lo profundamente no deserto, e eles não são adequados para famílias com crianças pequenas ou para qualquer pessoa que não é fisicamente capaz de atender às demandas de Também lembre-se de que, a fim de preservar o delicado sistema ecológico que você estará andando, não mais do que duas dúzias de hóspedes podem ficar em qualquer acampamento de uma só vez, por isso, se você quiser ir em um desses feriados muito especiais, você precisará reservar cedo!",Qual dos seguintes é o verdadeiro do acampamento de férias?,B,"['É gratuito', 'Dura 12 dias.', 'É organizado por Broughton.', 'Ele atribui pouca importância à ecologia.']"
"Pessoas bem-sucedidas em negócios internacionais entendem as culturas de outros países e aprendem a mudar suas práticas em diferentes culturas. Eles entendem a importância de evitar decisões de negócios baseadas em equívocos - ideias equivocadas. Uma causa de equívocos é o etnocentrismo, a crença de que a maneira de fazer as coisas da própria cultura é melhor do que a maneira de outras culturas. É o etnocentrismo que leva ao fracasso nos negócios internacionais. Para evitar o etnocentrismo, é necessário estudar Evite o etnocentrismo, é necessário estudar os diferentes elementos da cultura: linguagem, valores e atitudes, costumes e maneiras. O conhecimento da língua local pode ajudar os empresários internacionais de quatro maneiras. Primeiro, as pessoas podem se comunicar diretamente. Em segundo lugar, as pessoas geralmente são mais abertas em sua comunicação com alguém que fala sua língua. Em terceiro lugar, uma compreensão da língua permite que as pessoas deduzam significados que não são ditos diretamente. Finalmente, conhecer a língua ajuda dito diretamente. Finalmente, conhecer a língua ajuda as pessoas a entender melhor a cultura. Valores são crenças básicas das pessoas sobre a diferença entre certo e errado, bom e ruim. Uma atitude é uma maneira de pensar ou agir. Valores e atitudes influenciam os negócios internacionais. Por exemplo, muitas pessoas nos Estados Unidos acreditam que o chocolate da Suíça é melhor do que o chocolate de outros países, e eles compram muito disso. Alfândegas e costumes são práticas sociais comuns. Manners Maneiras são práticas sociais comuns. Maneiras são maneiras de agir que a sociedade acredita que são educadas. Por exemplo, nos Estados Unidos, é costume ter salada antes do prato principal no jantar, não depois. Não é aceitável conversar com comida na boca à mesa. Não entender os costumes e costumes de outros países trará dificuldade em vender seus produtos. Suco de laranja como bebida de café da manhã de uma empresa americana na França não vende bem porque os franceses geralmente não bebem com suco Porque os franceses geralmente não bebem suco com café da manhã.",A. conhecimento da língua local permite que os empresários internacionais _ .,D,"['ser mais aberto com seus clientes', 'Ter uma ideia melhor de sua própria cultura', 'para expressar seus pensamentos indiretamente', 'Comunicar-se sem ajuda externa']"
"Pessoas bem-sucedidas em negócios internacionais entendem as culturas de outros países e aprendem a mudar suas práticas em diferentes culturas. Eles entendem a importância de evitar decisões de negócios baseadas em equívocos - ideias equivocadas. Uma causa de equívocos é o etnocentrismo, a crença de que a maneira de fazer as coisas da própria cultura é melhor do que a maneira de outras culturas. É o etnocentrismo que leva ao fracasso nos negócios internacionais. Para evitar o etnocentrismo, é necessário estudar Evite o etnocentrismo, é necessário estudar os diferentes elementos da cultura: linguagem, valores e atitudes, costumes e maneiras. O conhecimento da língua local pode ajudar os empresários internacionais de quatro maneiras. Primeiro, as pessoas podem se comunicar diretamente. Em segundo lugar, as pessoas geralmente são mais abertas em sua comunicação com alguém que fala sua língua. Em terceiro lugar, uma compreensão da língua permite que as pessoas deduzam significados que não são ditos diretamente. Finalmente, conhecer a língua ajuda dito diretamente. Finalmente, conhecer a língua ajuda as pessoas a entender melhor a cultura. Valores são crenças básicas das pessoas sobre a diferença entre certo e errado, bom e ruim. Uma atitude é uma maneira de pensar ou agir. Valores e atitudes influenciam os negócios internacionais. Por exemplo, muitas pessoas nos Estados Unidos acreditam que o chocolate da Suíça é melhor do que o chocolate de outros países, e eles compram muito disso. Alfândegas e costumes são práticas sociais comuns. Manners Maneiras são práticas sociais comuns. Maneiras são maneiras de agir que a sociedade acredita que são educadas. Por exemplo, nos Estados Unidos, é costume ter salada antes do prato principal no jantar, não depois. Não é aceitável conversar com comida na boca à mesa. Não entender os costumes e costumes de outros países trará dificuldade em vender seus produtos. Suco de laranja como bebida de café da manhã de uma empresa americana na França não vende bem porque os franceses geralmente não bebem com suco Porque os franceses geralmente não bebem suco com café da manhã.",O ato de muitas pessoas que compram chocolate da Suíça mostra o papel de _ .,A,"['Atitudes', 'valores', 'modos', 'Alfândegas']"
"Pessoas bem-sucedidas em negócios internacionais entendem as culturas de outros países e aprendem a mudar suas práticas em diferentes culturas. Eles entendem a importância de evitar decisões de negócios baseadas em equívocos - ideias equivocadas. Uma causa de equívocos é o etnocentrismo, a crença de que a maneira de fazer as coisas da própria cultura é melhor do que a maneira de outras culturas. É o etnocentrismo que leva ao fracasso nos negócios internacionais. Para evitar o etnocentrismo, é necessário estudar Evite o etnocentrismo, é necessário estudar os diferentes elementos da cultura: linguagem, valores e atitudes, costumes e maneiras. O conhecimento da língua local pode ajudar os empresários internacionais de quatro maneiras. Primeiro, as pessoas podem se comunicar diretamente. Em segundo lugar, as pessoas geralmente são mais abertas em sua comunicação com alguém que fala sua língua. Em terceiro lugar, uma compreensão da língua permite que as pessoas deduzam significados que não são ditos diretamente. Finalmente, conhecer a língua ajuda dito diretamente. Finalmente, conhecer a língua ajuda as pessoas a entender melhor a cultura. Valores são crenças básicas das pessoas sobre a diferença entre certo e errado, bom e ruim. Uma atitude é uma maneira de pensar ou agir. Valores e atitudes influenciam os negócios internacionais. Por exemplo, muitas pessoas nos Estados Unidos acreditam que o chocolate da Suíça é melhor do que o chocolate de outros países, e eles compram muito disso. Alfândegas e costumes são práticas sociais comuns. Manners Maneiras são práticas sociais comuns. Maneiras são maneiras de agir que a sociedade acredita que são educadas. Por exemplo, nos Estados Unidos, é costume ter salada antes do prato principal no jantar, não depois. Não é aceitável conversar com comida na boca à mesa. Não entender os costumes e costumes de outros países trará dificuldade em vender seus produtos. Suco de laranja como bebida de café da manhã de uma empresa americana na França não vende bem porque os franceses geralmente não bebem com suco Porque os franceses geralmente não bebem suco com café da manhã.",Qual seria o melhor título para o texto?,C,"['Conceitos errados nos negócios', 'Crenças Básicas nos Negócios', 'Cultura Negócios Internacionais', 'Negócios Internacionais de Sucesso']"
"Pessoas bem-sucedidas em negócios internacionais entendem as culturas de outros países e aprendem a mudar suas práticas em diferentes culturas. Eles entendem a importância de evitar decisões de negócios baseadas em equívocos - ideias equivocadas. Uma causa de equívocos é o etnocentrismo, a crença de que a maneira de fazer as coisas da própria cultura é melhor do que a maneira de outras culturas. É o etnocentrismo que leva ao fracasso nos negócios internacionais. Para evitar o etnocentrismo, é necessário estudar Evite o etnocentrismo, é necessário estudar os diferentes elementos da cultura: linguagem, valores e atitudes, costumes e maneiras. O conhecimento da língua local pode ajudar os empresários internacionais de quatro maneiras. Primeiro, as pessoas podem se comunicar diretamente. Em segundo lugar, as pessoas geralmente são mais abertas em sua comunicação com alguém que fala sua língua. Em terceiro lugar, uma compreensão da língua permite que as pessoas deduzam significados que não são ditos diretamente. Finalmente, conhecer a língua ajuda dito diretamente. Finalmente, conhecer a língua ajuda as pessoas a entender melhor a cultura. Valores são crenças básicas das pessoas sobre a diferença entre certo e errado, bom e ruim. Uma atitude é uma maneira de pensar ou agir. Valores e atitudes influenciam os negócios internacionais. Por exemplo, muitas pessoas nos Estados Unidos acreditam que o chocolate da Suíça é melhor do que o chocolate de outros países, e eles compram muito disso. Alfândegas e costumes são práticas sociais comuns. Manners Maneiras são práticas sociais comuns. Maneiras são maneiras de agir que a sociedade acredita que são educadas. Por exemplo, nos Estados Unidos, é costume ter salada antes do prato principal no jantar, não depois. Não é aceitável conversar com comida na boca à mesa. Não entender os costumes e costumes de outros países trará dificuldade em vender seus produtos. Suco de laranja como bebida de café da manhã de uma empresa americana na França não vende bem porque os franceses geralmente não bebem com suco Porque os franceses geralmente não bebem suco com café da manhã.",O objetivo do autor de escrever este artigo é dizer às pessoas _,B,"['Como ter uma atitude correta nos negócios', 'Como evitar mal-entendidos nos negócios', 'Como usar uma língua local nos negócios', 'Como agir de forma educada e adequada nos negócios']"
"O sucesso de Pickwick Papers fez Dickens muito popular. De repente, ele encontrou-se em vinte e quatro o romancista mais famoso de sua época. Ocupado como sua vida social foi, ele trabalhou em dois romances ao mesmo tempo -Oliver Twist e Pickwick Papers. Ele estava particularmente orgulhoso de Pickwick Papers, que foi um enorme sucesso e foi considerado uma obra-prima cômica. ""Se eu tivesse que viver cem anos e escrever romances em cada um, eu nunca deveria ser tão orgulhoso. Estou orgulhoso de Pickwick Papers"", disse ele. Tem sido dito de Dickens que ele agarrou a imaginação de ' seus leitores porque sua imaginação se agarrou. As pessoas em suas obras eram tão reais que podiam fazê-lo rir ou chorar. Ao escrever Oliver Twist, ele disse que não podia descansar até Fagin, o malfeitor, ter sido enforcado. O casamento de Dickens com Catherine Hagarth, com quem ele teve nove filhos, terminou de forma infeliz. 18 Seu interesse no teatro deu a seus romances as qualidades que os tornaram adequados para ler em voz alta no palco. Uma viagem cansativa para os Estados Unidos afetou sua saúde. Em 9 de junho de 1870, quando ele estava trabalhando em um novo romance, ele morreu. Dickens sempre quis morrer de trabalho.",Dickens tornou-se um famoso romancista _ .,B,"['porque o seu trabalho social', 'com o sucesso da Pickwick Papers', 'porque ele estava escrevendo dois romances ao mesmo tempo', 'quando ele começou a dar leituras de suas obras']"
"O sucesso de Pickwick Papers fez Dickens muito popular. De repente, ele encontrou-se em vinte e quatro o romancista mais famoso de sua época. Ocupado como sua vida social foi, ele trabalhou em dois romances ao mesmo tempo -Oliver Twist e Pickwick Papers. Ele estava particularmente orgulhoso de Pickwick Papers, que foi um enorme sucesso e foi considerado uma obra-prima cômica. ""Se eu tivesse que viver cem anos e escrever romances em cada um, eu nunca deveria ser tão orgulhoso. Estou orgulhoso de Pickwick Papers"", disse ele. Tem sido dito de Dickens que ele agarrou a imaginação de ' seus leitores porque sua imaginação se agarrou. As pessoas em suas obras eram tão reais que podiam fazê-lo rir ou chorar. Ao escrever Oliver Twist, ele disse que não podia descansar até Fagin, o malfeitor, ter sido enforcado. O casamento de Dickens com Catherine Hagarth, com quem ele teve nove filhos, terminou de forma infeliz. 18 Seu interesse no teatro deu a seus romances as qualidades que os tornaram adequados para ler em voz alta no palco. Uma viagem cansativa para os Estados Unidos afetou sua saúde. Em 9 de junho de 1870, quando ele estava trabalhando em um novo romance, ele morreu. Dickens sempre quis morrer de trabalho.","De acordo com esta passagem, sabemos que Dickens _.",D,"['Só estava interessado em escrever romances', 'Não gosto de Oliver Twist', 'desejou viver cem anos e escrever três romances em cada', 'Não achava que ele poderia escrever um romance melhor do que Pickwick Papers em sua vida.']"
"O sucesso de Pickwick Papers fez Dickens muito popular. De repente, ele encontrou-se em vinte e quatro o romancista mais famoso de sua época. Ocupado como sua vida social foi, ele trabalhou em dois romances ao mesmo tempo -Oliver Twist e Pickwick Papers. Ele estava particularmente orgulhoso de Pickwick Papers, que foi um enorme sucesso e foi considerado uma obra-prima cômica. ""Se eu tivesse que viver cem anos e escrever romances em cada um, eu nunca deveria ser tão orgulhoso. Estou orgulhoso de Pickwick Papers"", disse ele. Tem sido dito de Dickens que ele agarrou a imaginação de ' seus leitores porque sua imaginação se agarrou. As pessoas em suas obras eram tão reais que podiam fazê-lo rir ou chorar. Ao escrever Oliver Twist, ele disse que não podia descansar até Fagin, o malfeitor, ter sido enforcado. O casamento de Dickens com Catherine Hagarth, com quem ele teve nove filhos, terminou de forma infeliz. 18 Seu interesse no teatro deu a seus romances as qualidades que os tornaram adequados para ler em voz alta no palco. Uma viagem cansativa para os Estados Unidos afetou sua saúde. Em 9 de junho de 1870, quando ele estava trabalhando em um novo romance, ele morreu. Dickens sempre quis morrer de trabalho.","Como romancista, Dickens _ .",A,"['Estava cheio de imaginação', 'Foi difícil satisfazer seus leitores', 'Sempre escreveu sobre pessoas reais na vida', 'escreveu obras de acordo com a imaginação de seus leitores']"
"O sucesso de Pickwick Papers fez Dickens muito popular. De repente, ele encontrou-se em vinte e quatro o romancista mais famoso de sua época. Ocupado como sua vida social foi, ele trabalhou em dois romances ao mesmo tempo -Oliver Twist e Pickwick Papers. Ele estava particularmente orgulhoso de Pickwick Papers, que foi um enorme sucesso e foi considerado uma obra-prima cômica. ""Se eu tivesse que viver cem anos e escrever romances em cada um, eu nunca deveria ser tão orgulhoso. Estou orgulhoso de Pickwick Papers"", disse ele. Tem sido dito de Dickens que ele agarrou a imaginação de ' seus leitores porque sua imaginação se agarrou. As pessoas em suas obras eram tão reais que podiam fazê-lo rir ou chorar. Ao escrever Oliver Twist, ele disse que não podia descansar até Fagin, o malfeitor, ter sido enforcado. O casamento de Dickens com Catherine Hagarth, com quem ele teve nove filhos, terminou de forma infeliz. 18 Seu interesse no teatro deu a seus romances as qualidades que os tornaram adequados para ler em voz alta no palco. Uma viagem cansativa para os Estados Unidos afetou sua saúde. Em 9 de junho de 1870, quando ele estava trabalhando em um novo romance, ele morreu. Dickens sempre quis morrer de trabalho.",Fagin deve ser _ .,B,"['uma pessoa na vida real', 'um personagem em Oliver Twist', 'um personagem em Pickwick Papers', 'Uma das obras de Dickens']"
"O sucesso de Pickwick Papers fez Dickens muito popular. De repente, ele encontrou-se em vinte e quatro o romancista mais famoso de sua época. Ocupado como sua vida social foi, ele trabalhou em dois romances ao mesmo tempo -Oliver Twist e Pickwick Papers. Ele estava particularmente orgulhoso de Pickwick Papers, que foi um enorme sucesso e foi considerado uma obra-prima cômica. ""Se eu tivesse que viver cem anos e escrever romances em cada um, eu nunca deveria ser tão orgulhoso. Estou orgulhoso de Pickwick Papers"", disse ele. Tem sido dito de Dickens que ele agarrou a imaginação de ' seus leitores porque sua imaginação se agarrou. As pessoas em suas obras eram tão reais que podiam fazê-lo rir ou chorar. Ao escrever Oliver Twist, ele disse que não podia descansar até Fagin, o malfeitor, ter sido enforcado. O casamento de Dickens com Catherine Hagarth, com quem ele teve nove filhos, terminou de forma infeliz. 18 Seu interesse no teatro deu a seus romances as qualidades que os tornaram adequados para ler em voz alta no palco. Uma viagem cansativa para os Estados Unidos afetou sua saúde. Em 9 de junho de 1870, quando ele estava trabalhando em um novo romance, ele morreu. Dickens sempre quis morrer de trabalho.",Qual das seguintes opções é verdadeira?,D,"['Ela teve um casamento feliz com Catherine Hagarth.', 'Dickens foi um ator de sucesso.', 'A morte de Dickens teve pouco a ver com seu trabalho duro.', 'Dickens desejava morrer no decorrer de seu trabalho.']"
"""Oi, howareya."" algumas pessoas dizem quando vêem um rosto familiar.As palavras correm juntas em uma massa, todos os sentidos e significados perdidos. Mesmo assim, as pessoas se importam como você é.Depois que eles o cumprimentam, é provável que você os cumprimentará de volta, com uma frase igualmente sem sentido, como ""Não pode reclamar, não pode reclamar.""Você provavelmente poderia reclamar, no comprimento, ou compartilhar um pensamento brilhante que você estava apenas começando quando uma saudação interrompeu você. não estão dando uns aos outros informações sobre sua saúde e bem-estar.Tudo o mesmo, você está compartilhando informações.Você está reconhecendo as posições uns dos outros como amigos reconhecidos, ou pelo menos como conhecidos aceitos.E você está restabelecendo os laços que podem ter caducado desde ontem, quando você se encontrou pela última vez no elevador ou na entrada da estação de trem. É o que o antropólogo Bronislaw Malinoski chamou de comunicação fanática.Sua mensagem não está no fato, as palavras que você usa, mas no fato de que você fala palavras ritualmente aceitas.Na Ásia, por exemplo, as pessoas podem perguntar um ao outro se eles comeram, ou se eles estão ocupados.Eles não estão realmente pedindo seu menu de almoço ou sua agenda, eles estão dizendo olá.Um sinal fatico simplesmente diz: ""Eu vejo você lá."" Ele diz oi. Há vergonha de estar perto de pessoas sem reconhecê-los.Esse sentimento desconfortável pode ser uma razão pela qual os passageiros solitários não podem ver no metrô se se eles não podem ver ninguém ao seu redor ou pode escapar de sua situação desconfortável com um livro.Algumas pessoas lêem todo o caminho de casa, e nunca virar uma página. Seu amigo não está perguntando como você está, e você não está dizendo a ele.No entanto, ele está reconhecendo sua existência, e quando você responde, você está reconhecendo o seu.Além disso, o discurso conjunto que você compartilhou abre a porta para comunicações mais próximas se ambos concordam.Algum dia, você pode dizer a amizade real enquanto você está realmente perto Diga um ao outro como você é. Enquanto isso, as pessoas que se cumprimentam desta maneira se importam. Eles se preocupam o suficiente para reconhecer a humanidade essencial de alguém. Eles enviam um sinal através do espaço entre, compartilhar, muito brevemente e levemente, em consciência um do outro. Suas saudações provam que nenhum de vocês se tornou um pária social. Como você está? Você ainda é um membro da sociedade em bom estado. Você ainda é aquele que conhece os rituais e senhas secretas necessárias para obter cada dia.","Quando as pessoas saúdam, elas _.",B,"['quer mostrar suas diferentes origens educacionais', 'Não mostram nada relacionado com as próprias palavras', 'Quer conhecer a privacidade de outras pessoas', 'Expresse algo especial']"
"""Oi, howareya."" algumas pessoas dizem quando vêem um rosto familiar.As palavras correm juntas em uma massa, todos os sentidos e significados perdidos. Mesmo assim, as pessoas se importam como você é.Depois que eles o cumprimentam, é provável que você os cumprimentará de volta, com uma frase igualmente sem sentido, como ""Não pode reclamar, não pode reclamar.""Você provavelmente poderia reclamar, no comprimento, ou compartilhar um pensamento brilhante que você estava apenas começando quando uma saudação interrompeu você. não estão dando uns aos outros informações sobre sua saúde e bem-estar.Tudo o mesmo, você está compartilhando informações.Você está reconhecendo as posições uns dos outros como amigos reconhecidos, ou pelo menos como conhecidos aceitos.E você está restabelecendo os laços que podem ter caducado desde ontem, quando você se encontrou pela última vez no elevador ou na entrada da estação de trem. É o que o antropólogo Bronislaw Malinoski chamou de comunicação fanática.Sua mensagem não está no fato, as palavras que você usa, mas no fato de que você fala palavras ritualmente aceitas.Na Ásia, por exemplo, as pessoas podem perguntar um ao outro se eles comeram, ou se eles estão ocupados.Eles não estão realmente pedindo seu menu de almoço ou sua agenda, eles estão dizendo olá.Um sinal fatico simplesmente diz: ""Eu vejo você lá."" Ele diz oi. Há vergonha de estar perto de pessoas sem reconhecê-los.Esse sentimento desconfortável pode ser uma razão pela qual os passageiros solitários não podem ver no metrô se se eles não podem ver ninguém ao seu redor ou pode escapar de sua situação desconfortável com um livro.Algumas pessoas lêem todo o caminho de casa, e nunca virar uma página. Seu amigo não está perguntando como você está, e você não está dizendo a ele.No entanto, ele está reconhecendo sua existência, e quando você responde, você está reconhecendo o seu.Além disso, o discurso conjunto que você compartilhou abre a porta para comunicações mais próximas se ambos concordam.Algum dia, você pode dizer a amizade real enquanto você está realmente perto Diga um ao outro como você é. Enquanto isso, as pessoas que se cumprimentam desta maneira se importam. Eles se preocupam o suficiente para reconhecer a humanidade essencial de alguém. Eles enviam um sinal através do espaço entre, compartilhar, muito brevemente e levemente, em consciência um do outro. Suas saudações provam que nenhum de vocês se tornou um pária social. Como você está? Você ainda é um membro da sociedade em bom estado. Você ainda é aquele que conhece os rituais e senhas secretas necessárias para obter cada dia.","De acordo com Bronislaw Malinoski,uma comunicação fatica _ .",C,"['Raramente é usado por pessoas asiáticas', 'É complexo demais para ser usado com frequência', 'ajuda a estabelecer ou manter certas relações', 'muitas vezes arruína as relações normais entre amigos ou conhecidos']"
"""Oi, howareya."" algumas pessoas dizem quando vêem um rosto familiar.As palavras correm juntas em uma massa, todos os sentidos e significados perdidos. Mesmo assim, as pessoas se importam como você é.Depois que eles o cumprimentam, é provável que você os cumprimentará de volta, com uma frase igualmente sem sentido, como ""Não pode reclamar, não pode reclamar.""Você provavelmente poderia reclamar, no comprimento, ou compartilhar um pensamento brilhante que você estava apenas começando quando uma saudação interrompeu você. não estão dando uns aos outros informações sobre sua saúde e bem-estar.Tudo o mesmo, você está compartilhando informações.Você está reconhecendo as posições uns dos outros como amigos reconhecidos, ou pelo menos como conhecidos aceitos.E você está restabelecendo os laços que podem ter caducado desde ontem, quando você se encontrou pela última vez no elevador ou na entrada da estação de trem. É o que o antropólogo Bronislaw Malinoski chamou de comunicação fanática.Sua mensagem não está no fato, as palavras que você usa, mas no fato de que você fala palavras ritualmente aceitas.Na Ásia, por exemplo, as pessoas podem perguntar um ao outro se eles comeram, ou se eles estão ocupados.Eles não estão realmente pedindo seu menu de almoço ou sua agenda, eles estão dizendo olá.Um sinal fatico simplesmente diz: ""Eu vejo você lá."" Ele diz oi. Há vergonha de estar perto de pessoas sem reconhecê-los.Esse sentimento desconfortável pode ser uma razão pela qual os passageiros solitários não podem ver no metrô se se eles não podem ver ninguém ao seu redor ou pode escapar de sua situação desconfortável com um livro.Algumas pessoas lêem todo o caminho de casa, e nunca virar uma página. Seu amigo não está perguntando como você está, e você não está dizendo a ele.No entanto, ele está reconhecendo sua existência, e quando você responde, você está reconhecendo o seu.Além disso, o discurso conjunto que você compartilhou abre a porta para comunicações mais próximas se ambos concordam.Algum dia, você pode dizer a amizade real enquanto você está realmente perto Diga um ao outro como você é. Enquanto isso, as pessoas que se cumprimentam desta maneira se importam. Eles se preocupam o suficiente para reconhecer a humanidade essencial de alguém. Eles enviam um sinal através do espaço entre, compartilhar, muito brevemente e levemente, em consciência um do outro. Suas saudações provam que nenhum de vocês se tornou um pária social. Como você está? Você ainda é um membro da sociedade em bom estado. Você ainda é aquele que conhece os rituais e senhas secretas necessárias para obter cada dia.",Algumas pessoas raramente cumprimentam estranhos porque _.,B,"['Eles querem ser educados com os outros', 'eles se sentem desconfortáveis para fazê-lo', 'Eles não sabem quando cumprimentá-los', 'Eles querem fazer algo significativo']"
"""Oi, howareya."" algumas pessoas dizem quando vêem um rosto familiar.As palavras correm juntas em uma massa, todos os sentidos e significados perdidos. Mesmo assim, as pessoas se importam como você é.Depois que eles o cumprimentam, é provável que você os cumprimentará de volta, com uma frase igualmente sem sentido, como ""Não pode reclamar, não pode reclamar.""Você provavelmente poderia reclamar, no comprimento, ou compartilhar um pensamento brilhante que você estava apenas começando quando uma saudação interrompeu você. não estão dando uns aos outros informações sobre sua saúde e bem-estar.Tudo o mesmo, você está compartilhando informações.Você está reconhecendo as posições uns dos outros como amigos reconhecidos, ou pelo menos como conhecidos aceitos.E você está restabelecendo os laços que podem ter caducado desde ontem, quando você se encontrou pela última vez no elevador ou na entrada da estação de trem. É o que o antropólogo Bronislaw Malinoski chamou de comunicação fanática.Sua mensagem não está no fato, as palavras que você usa, mas no fato de que você fala palavras ritualmente aceitas.Na Ásia, por exemplo, as pessoas podem perguntar um ao outro se eles comeram, ou se eles estão ocupados.Eles não estão realmente pedindo seu menu de almoço ou sua agenda, eles estão dizendo olá.Um sinal fatico simplesmente diz: ""Eu vejo você lá."" Ele diz oi. Há vergonha de estar perto de pessoas sem reconhecê-los.Esse sentimento desconfortável pode ser uma razão pela qual os passageiros solitários não podem ver no metrô se se eles não podem ver ninguém ao seu redor ou pode escapar de sua situação desconfortável com um livro.Algumas pessoas lêem todo o caminho de casa, e nunca virar uma página. Seu amigo não está perguntando como você está, e você não está dizendo a ele.No entanto, ele está reconhecendo sua existência, e quando você responde, você está reconhecendo o seu.Além disso, o discurso conjunto que você compartilhou abre a porta para comunicações mais próximas se ambos concordam.Algum dia, você pode dizer a amizade real enquanto você está realmente perto Diga um ao outro como você é. Enquanto isso, as pessoas que se cumprimentam desta maneira se importam. Eles se preocupam o suficiente para reconhecer a humanidade essencial de alguém. Eles enviam um sinal através do espaço entre, compartilhar, muito brevemente e levemente, em consciência um do outro. Suas saudações provam que nenhum de vocês se tornou um pária social. Como você está? Você ainda é um membro da sociedade em bom estado. Você ainda é aquele que conhece os rituais e senhas secretas necessárias para obter cada dia.",O que o texto nos diz principalmente?,D,"['Saudações devem ser dadas melhores expressões.', 'Saudações transmitem significados diferentes para pessoas diferentes.', 'Saudações ajudam a provar a independência social de um indivíduo.', 'Saudações ajudam um indivíduo a estar conectado com a sociedade.']"
