titulo_do_texto,texto,descritor,comando,resposta,resposta_item,opcoes
O cômodo vazio,"Um homem acorda num cômodo vazio. [...] Confuso, tateia ao redor de si a fim de encontrar algo. Sem achar nada além do chão [...], põe-se sentado e olha para os lados: quatro paredes, encardidas, lhe guardam, silenciosas, num quadrilátero. Olha para cima: há um teto, no mesmo estado das paredes. Botando-se de gatinhas, teima em vasculhar o piso, agora indo além de onde despertou, seguindo por todos os lugares e cantos. [...] Nada. Desalentado, encara o teto. [...] Dá alguns pulos com os braços esticados, já sabendo que não daria certo, mas insiste mesmo assim, renovando seu desgosto. Angustiado, [...] senta-se no chão e leva as mãos à cabeça. Sua testa está escorregadia de suor, e fecha os olhos para pensar melhor. “Ora, este é um cômodo. E está vazio. Se estou nele... ... entrei por algum lugar.” Concluindo o óbvio, abre os olhos e vasculha novamente os arredores. Sente vergonha de si quando repara que havia uma porta numa das paredes, o tempo todo. Apalpa [...] os bolsos vazios: nada de chave. “Como saio?” Levanta-se e vai até a porta. Gira a maçaneta. “Está aberta!” Sai do cômodo e segue seu caminho, como já devia ter feito desde o começo desta estória.",D19 – Reconhecer o efeito de sentido decorrente da escolha de uma determinada palavra ou expressão.,"Nesse texto, no trecho “... sem achar nada além do cho...” a expresso ""sem"" é",a cômodo.,a,"['a cômodo.', 'os olhos no.', 'os olhos.', 'O cômodo vazio.']"
Branca lembrança de uma infância,"Naquela época, o carreirinho que ia à igreja já estava branquinho de neve, como se tivesse chovido algodão sobre a mata ainda virgem. Os galhos dos pinheiros – até os mais fortes – quebravam devido ao peso da neve. Os barrancos ficavam todos cobertos por uma manta branca e suave, formando um verdadeiro escorregador. Fazíamos bonecos de neve com nariz de cenoura, braços de galhos secos e uma panela velha como chapéu. Foi a nossa maior diversão! Contrastando com a neve, estava o marrom carnado do pinhão no chão. Pinhão, tinha bastante! Por isso era pinhão no almoço, na janta... Como a comida era pouco diversificada, a gente dava graças quando tinha alguma coisa diferente. O pinhão dava um sabor a mais a nossas refeições! A gente sabia que o pinhão só dava no inverno, mas queria catar pinhão o ano todo. Ah, que saudades daquela época em que a gente fazia o sapecado! O pinhão quentinho e o chimarrão eram nossos tesouros, nossa tradição... [...]","D17 - Reconhecer o sentido das relações lógico-discursivas marcadas por conjunções, advérbios etc.","Nesse texto, no trecho “... a gente sabia que o pinho só dava no inverno, mas queria catar pinhào o ano todo.” o termo ""sabor"" é",a gente sabia que o pinho só dava no inverno.,a,"['a gente sabia que o pinho só dava no inverno.', 'Porque o pinho quentinho e o chimarro devem aprender a fazo.', 'porque a comida era ainda vida.', 'porque a comida é ainda virgem.']"
Um homem e uma mulher,"Aconteceu um acidente de trânsito, com dois carros batendo de frente, um guiado por um homem e o outro por uma mulher. Os carros ficaram completamente destruídos, mas, surpreendentemente, os motoristas nada sofreram. Ficaram completamente ilesos. Depois de saírem de seus carros, a mulher disse: — Interessante, você é um homem e eu uma mulher com os carros totalmente destruídos, mas estamos sem nenhum arranhão. Isto deve ser um sinal de Deus. Nós realmente precisávamos nos encontrar. Estava em nossos destinos nos conhecermos e ficarmos vivendo em paz, como grandes amigos até o fim de nossos dias. — Concordo! - disse o homem. A mulher continuou: — Isto com certeza é um sinal de Deus. E olhe outro milagre! Meu carro está completamente destruído, mas esta garrafa de vinho não se quebrou. Está claro que o destino quer que a bebamos para celebrar a nossa vida, que foi salva milagrosamente neste acidente. Vamos celebrar! Então a mulher tirou a rolha e passou a garrafa para o homem. Ele concordou sem titubear, e bebeu pelo gargalo a metade do vinho da garrafa. Depois devolveu a garrafa à mulher. Ela, imediatamente, sem beber uma gota, recolocou a rolha no gargalo. Sem entender nada, o homem perguntou: — Não vai beber a sua metade para comemorar? A mulher respondeu: — Agora não. Vou esperar a polícia chegar primeiro...","D17 - Reconhecer o sentido das relações lógico-discursivas marcadas por conjunções, advérbios etc.","Nesse texto, no trecho “... Isto com certeza é um sinal de Deus.",a mulher.,d,"['o carro de vinho está aconteceu em paz.', 'O homem deve que os homems devem encontrar a garrafa.', 'o carro de vinho está aconteceu.', 'a mulher.']"
Baratas ─ Conheça as características desse inseto resistente,"[...] Existem cerca de 5 mil espécies de baratas, das quais 1 mil são brasileiras. Muita gente não sabe que as baratas urbanas correspondem a 1% do total de espécies desses insetos – o restante são espécies silvestres. [...] Os fósseis mais antigos de baratas estão datados em cerca de 320 milhões de anos, do período Carbonífero. Esses registros são impressões em rochas pré-históricas – o padrão das nervuras presentes nas asas é característico de cada espécie. Fósseis de baratas encontrados nas rochas calcárias da Formação de Santana, na região mineira de Santana de Cariri, datam de 112 milhões de anos, do período Cretáceo Inferior. Isso prova que esses insetos foram contemporâneos dos dinossauros. [...] As baratas são sobreviventes de todas as alterações climáticas e ambientais sofridas pela Terra em centenas de milhões de anos. Como uma fórmula “que deu certo”, elas não mudaram muito de lá para cá. Apresentam apenas variação no número de nervuras em suas asas e de espinhos nas pernas. [...]","D14 - Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para sua continuidade.","Nesse texto, no trecho “... Existem cerca de 5 mil espécies de baratas, das quais 1 mil so brasileiras.” o termo ""barata"" é",nas rochas.,a,"['nas rochas.', 'Os insetos com rochas pre-históricas da formaço de Santana na regio mineira de Santanda.', 'As baratas urbanas so sobreviventes de todas as alteraçes climáticas e ambientais sofridas pela Terra.', 'A fórmula ""que deu certo"" no mudaram muito de lá para cá.']"
As lembranças vão na mala,"Puft! Fui atingida por toneladas e toneladas de fotos e álbuns de fotografia. É, quando mamãe dizia para arrumar esse armário, ela estava realmente falando sério. Em meio a tantas e tantas fotos, uma me chamou a atenção. Depois de muito observá-la, conseguia sentir até mesmo a areia no meu pé, o cheirinho do mar, o barulho das ondas quebrando, os adultos conversando, as crianças brincando... Ah! As crianças... Essa risada gostosa, tão sutil e ao mesmo tempo estridente, tão sincera... E esse rostinho de quem vai aprontar alguma? Esse olhar sapeca brilhando na direção do mar, da areia, de tudo e todos, como se examinasse cada detalhe de um novo mundo com uma perspectiva totalmente diferente. E lá ia eu, deixando meu calmo e tranquilo mundo paralelo para ir atrás de uma miniatura de gente que corria em meio às gargalhadas pela praia lotada, em direção ao mar, para meu desespero e da minha mãe, é claro. Calma e tranquilidade não combinavam com a situação, então “desci do salto” e perdi a compostura. Saí pela praia gritando por meu irmão, para que voltasse o mais rápido possível, porém, isso não poderia ser conseguido com facilidade. [...] É... nossas viagens nunca foram de plena leveza e descanso e a falta de medo e noção dos perigos do Rafa, meu irmão, sempre foram os principais motivos para tais situações, mas sempre tornaram as viagens tão memoráveis e inesquecíveis ao ponto de deixar-me sorrindo como boba ao olhar fotos como esta. Momentos que me fazem sentir falta de cada gargalhada, brincadeira e, claro, de todas as maratonas atrás desse homenzinho de nossa família!","D14 - Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para sua continuidade.","Nesse texto, no trecho “E lá ia eu, deixando meu calmo e tranquilo mundo paralelo para ir atrás de uma miniatura de gente que corria",indicar uma atenço.,b,"['Os adultos fazem uma me.', 'indicar uma atenço.', 'As pessoas so muito pobres em direço do mar.', 'Os adultos fazem uma vida.']"
A Cidade dos Resmungos,"Era uma vez um lugar chamado Cidade dos Resmungos, onde todos resmungavam, resmungavam, resmungavam. No verão, resmungavam que estava muito quente. No inverno, que estava muito frio. Quando chovia, as crianças choramingavam porque não podiam sair. Quando fazia sol, reclamavam que não tinham o que fazer. Os vizinhos queixavam-se uns dos outros, os pais queixavam-se dos filhos, os irmãos das irmãs. Todos tinham um problema, e todos reclamavam que alguém deveria fazer alguma coisa. Um dia chegou à cidade um mascate carregando um enorme cesto às costas. Ao perceber toda aquela inquietação e choradeira, pôs o cesto no chão e gritou: — Ó cidadãos deste belo lugar! Os campos estão abarrotados de trigo, os pomares carregados de frutas. As cordilheiras são cobertas de florestas espessas, e os vales banhados por rios profundos. Jamais vi um lugar abençoado por tantas conveniências e tamanha abundância. Por que tanta insatisfação? Aproximem-se, e eu lhes mostrarei o caminho para a felicidade. [...] ele puxou uma corda comprida do cesto e a esticou entre dois postes na praça da cidade. Então, segurando o cesto diante de si, gritou: — Povo desta cidade! Aqueles que estiverem insatisfeitos escrevam seus problemas num pedaço de papel e ponham dentro deste cesto. Trocarei seus problemas por felicidade! A multidão se aglomerou ao seu redor. Ninguém hesitou diante da chance de se livrar dos problemas. Todo homem, mulher e criança da vila rabiscou sua queixa num pedaço de papel e jogou no cesto. Eles observaram o mascate pegar cada problema e pendurá-lo na corda. [...] Então ele disse: — Agora cada um de vocês deve retirar desta linha mágica o menor problema que puder encontrar. Todos correram para examinar os problemas. Procuraram, manusearam os pedaços de papel e ponderaram, cada qual tentando escolher o menor problema. Depois de algum tempo a corda estava vazia. Eis que cada um segurava o mesmíssimo problema que havia colocado no cesto. Cada pessoa havia escolhido o seu próprio problema, julgando ser ele o menor da corda. Daí por diante, o povo daquela cidade deixou de resmungar o tempo todo. E sempre que alguém sentia o desejo de resmungar ou reclamar, pensava no mascate e na sua corda mágica.",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,"Nesse texto, no trecho “As cordilheiras so cobertas de florestas espessas, e os vales banhados por rios profundos.",resmungavam.,d,"['As cordilheiras esto carregados de frutas', 'As cordilheiras esto carregados de frutas.', 'Os campos so abarrotados de trigo.', 'resmungavam.']"
O Espelho Mágico,"O rapaz […] saiu pelo mundo para ganhar a vida. Ia por um caminho quando viu uma pedra tapando a boca de um formigueiro e as formigas lutando para arredá-la. O moço, que tinha bom coração, abaixou-se e tirou a pedra com cuidado para não matar as formigas. Quando acabou, uma formiguinha falou: - Se você se encontrar em dificuldades, diga: Valha-me o Rei das Formigas. O rapaz seguiu sua estrada e adiante encontrou um carneiro com uma pata enganchada num arame. Soltou o bichinho. O carneiro disse: - Quando você tiver uma dificuldade, diga: Valha-me o Rei dos Carneiros! Lá mais longe o rapaz viu um peixe dentro duma poça d’água rasa, quase se acabando. [...] O moço tirou-o da poça […]. - Quando você tiver uma dificuldade, diga: Valha-me o Rei dos Peixes. […] Chegando no reinado, o rapaz soube que a princesa tinha um espelho mágico que mostrava todas as cousas escondidas. O espelho só tinha forças de meia-noite até o primeiro cantar do galo. Quem se escondesse, e a princesa não descobrisse, casava com ela […]. O rapaz foi se oferecer para essa aventura. Na primeira noite […] disse: Valha-me o Rei dos Carneiros! […] - Monte nas minhas costas! – O rapaz montou e o carneiro largou-se correndo […]. Deitou o rapaz na gruta e encheu os arredores de carneiros, uns por cima dos outros, que ninguém via outra cousa afora carneiro. À meia-noite a moça puxou o espelho e procurou o rapaz […] e o espelho mostrou o rapaz deitado no chão, coberto de carneiros. […] O rapaz apelou para o peixe. Foi à beira-mar e chamou: Valha-me o Rei dos Peixes! […] O Rei dos Peixes mandou um tubarão engolir o rapaz e uma baleia engolir o tubarão e foi para o fundo do mar. Na meia-noite, a princesa foi consultar o espelho. […] descobriu onde o rapaz estava dormindo. […] a princesa ficou com pena dele e pediu ao rei para deixar o moço experimentar uma vez mais. O rapaz ficou contente e foi valer-se do Rei das Formigas. Esse ouviu a conversa toda e disse: - […] Eu vou virar você numa formiga [...] À meia-noite a princesa procurou o rapaz em toda parte, virou e mexeu, e nada de ver onde ele estava dormindo. Passouse a hora das forças do espelho encantado e ela não viu cousa alguma. Amanheceu o dia e o rapaz voltou a ser gente e veio perguntar onde tinha dormido. - Não sei onde você dormiu! Onde foi? - Não digo enquanto não me casar com você! Fizeram o casamento com muita festa e só depois de casado é que o moço disse onde tinha passado a sua última noite de solteiro.",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,"Nesse texto, no trecho “O rapaz seguiu sua estrada e adiante encontrou um carneiro com uma pata enganchada num arame.",o rapaz.,d,"['o espelho sabe que a pessoa na vida so muito feito.', 'O carneiro no aconteceu em dificuldades.', 'O rapaz tinha forças de meia-noite até o primeiro cantar do galo.', 'o rapaz.']"
Unidos no desejo por um futuro melhor – É possível,"Com a proposta de [...] construir novas relações partindo de ideias de sustentabilidade, desenvolvendo novas narrativas para a humanidade se reconectar à teia da vida, os escritores e ativistas ambientais André Carvalhal, Fe Cortez, Giovanna Nader e Yamê Reis se reúnem para lançar seus respectivos livros numa ação conjunta no dia 11 de dezembro, às 14h, nos jardins do Museu da República durante a edição da Junta Local [...]. Lançados [...] de forma não-presencial, os títulos [...] terão sua primeira sessão de autógrafos. [...] Para André Carvalhal, que lançou seu livro no início deste ano e já está na segunda impressão, é primordial acontecer este encontro. “O ritual de lançamento de um livro é algo muito importante. Não só porque marca a sua chegada no mercado, mas também porque é o momento de celebrar com as pessoas que fizeram parte e estar perto das pessoas que são o motivo do livro existir: os leitores. [...]”, comemora. [...] Giovanna Nader afirma que está emocionada com o fato de lançar o livro entre amigos [...]. “Lançar meu livro com grandes amigos e autores de livros [...] é muito emocionante. [...] Feliz em fazer isso com toda essa gente”, finaliza.",D07 - Diferenciar a informação principal das secundárias em um texto.,"Nesse texto, a informaço principal desse texto é",acontecer este encontro.,b,"['As pessoas so emocionadas com os leitores.', 'acontecer este encontro.', 'As pessoas no so interessadas com os leitores.', 'Os escritores e ativistas ambientais, André Carvalhal, Fe Cortez, Giovanna Nader e Yamê Reis renham para lançar seus livros no incio deste ano.']"
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D07 - Diferenciar a informação principal das secundárias em um texto.,"Nesse texto, no trecho “Em geral, a condiço do litoral brasileiro é ruim para os banhos de mar”, o ponto de referência é",os especialistas.,c,"['O esgoto no é assustado por os lugares paradisacos.', 'Elas têm uma famlia na água.', 'os especialistas.', 'Os paisagems do litoral brasileiro so muito importantes para fazer esportes e aproveitar a sua vida.']"
Água cidadã,"A gente tem um monte de direitos, os animais também têm, mas e a água, será que ela tem direitos também? Tem sim, e graças à ONU! A Organização das Nações Unidas criou um documento chamado Declaração Universal dos Direitos da Água! Ele tem 10 parágrafos, todos explicando como ela é importante para o nosso planeta! O primeiro item diz, logo de cara, que a água é patrimônio do planeta, e que cada povo e cada nação são responsáveis por ela! Já o parágrafo 7 diz claramente que a água não deve ser desperdiçada, nem poluída e nem envenenada! Puxa, seria legal se todo mundo respeitasse essa declaração, né?",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, no trecho “A gente tem um monte de direitos, os animais também têm, mas e a água...” o ponto de referência é:",a água.,a,"['a água.', 'Os animais também têm, mas e agua', 'Os animais também têm, mas e agua.', 'A água é patrimônio do planeta']"
"Computador não faz com que se leia menos’, diz Ruth Rocha; leia entrevista","Há 45 anos, em setembro de 1969, Ruth Machado Lousada Rocha teclava uma máquina de escrever trancada no quarto. Acostumada a criar textos para adultos, ela tentava terminar a sua primeira história infantil, para a revista “Recreio”. Só abriu a porta quando finalizou o conto “Romeu e Julieta”, sobre duas borboletas de cores diferentes. Como uma lagarta que sai do casulo, “nascia” ali também a escritora Ruth Rocha. [...] Folhinha ─ A infância mudou nesses 45 anos? Ruth Rocha ─ As crianças são muito parecidas. Por isso, livros infantis mais antigos e contos de fadas ainda encantam gente do mundo todo. Mas hoje tem o computador e outras tecnologias. O problema não é o computador ou a TV, é o uso excessivo deles. Tem criança que fica o dia inteiro com as telinhas ligadas. Não pode. É preciso ter hora para brincar, estudar, sair, comer e, claro, também para o computador e a TV. Tem que ter disciplina. [...] Usar o computador faz com que as crianças leiam menos? Não acho. Nunca se vendeu ou produziu tanto livro. Na minha época, não tínhamos opções, meus colegas não conversavam sobre literatura [...]. Conhecíamos só as histórias do Monteiro Lobato. Hoje há mais opções. [...] A sra. lia muito quando era criança? Muito. Quando eu tinha 13 anos, decidi ler todos os livros de uma biblioteca circulante que ficava na avenida São Luís. Claro que não consegui. Mas acho que li a biblioteca inteira do colégio Rio Branco, onde estudei e trabalhei. E ouvia muitas histórias também? Meu avô era um grande contador de histórias. Era um velhinho engraçado que adorava contar contos de folclore, dos irmãos Grimm, fábulas, histórias das “Mil e Uma Noites”. [...]",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, no trecho “... ela tentava terminar a sua primeira história infantil, para a revista “Recreio”.",com o computador e a TV.,b,"['Os livros infantis mais antigos e contos de fadas ainda encantam.', 'com o computador e a TV.', 'As crianças so muito parecidas.', 'Os livros infantis mais antigos e contos de fadas ainda encantam gente.']"
Jurássicas penas,"Olá, CHC! Gostei muito da notícia do dinossauro com penas. Fiquei em dúvida se ele é só carnívoro ou onívoro (comem carne e vegetais), seria legal se vocês publicassem sobre isso. Também não sabia que existiam dinossauros que tinham penas no rabo. Podem publicar, por favor, a minha carta? Sophie Sauer Harber Machado. Curitiba/PR. Oi, Sophie. Veja a sua carta publicada! Sobre os dinossauros, você pode encontrar essas res postas na CHC digital!",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, no trecho “Fiquei em dvida se ele é só carnvoro ou onivoro (comem carne e vegetais), seria legal se vocês publicassem sobre isso.",“Fiquei em dvida...”,d,"['Ele é só carnvoro ou onivoro (comem carne e vegetais), seria legal se você publicassem sobre isso.', 'Ela no sabia que existiam dinossauros que tinham penas.', 'Ela no sabia que os dinossauros tinham penas no rabo.', '“Fiquei em dvida...”']"
Um dia no campo,"A boneca Limãozinho foi visitar sua amiga, a boneca Fazendinha, que morava no campo. – Que maravilha de lugar, Fazendinha. Aqui há muitas frutas gostosas, como maçã, pera, uva, banana, jabuticaba, laranja... – disse Limãozinho. – Isso mesmo, amiga! Eu adoro este lugar, o ar puro, a companhia dos animais, a comida fresquinha... não troco isto aqui por nada – elogiou Fazendinha. Limãozinho gostou tanto da vida no campo que se mudou para lá e foi ajudar Fazendinha a cuidar dos bichos e do imenso pomar repleto de frutas que havia naquele lugar mágico e encantador. Agora, além das maravilhas da natureza, o campo contava com a presença das duas lindas bonecas.",D06 - Distinguir fato de opinião relativa ao fato.,"Nesse texto, no trecho “... no troco isto aqui por nada – elogiou Fazendinha.” o campo contava com a presença da natureza.",indicar que o campo contava com a presença da natureza.,d,"['As frutas gostosas como maç, pera, uva, banana, jabuticaba, laranja.', 'O campo contava com a presença da natureza', 'O campo contava com a presença da naturaza.', 'indicar que o campo contava com a presença da natureza.']"
Água cidadã,"A gente tem um monte de direitos, os animais também têm, mas e a água, será que ela tem direitos também? Tem sim, e graças à ONU! A Organização das Nações Unidas criou um documento chamado Declaração Universal dos Direitos da Água! Ele tem 10 parágrafos, todos explicando como ela é importante para o nosso planeta! O primeiro item diz, logo de cara, que a água é patrimônio do planeta, e que cada povo e cada nação são responsáveis por ela! Já o parágrafo 7 diz claramente que a água não deve ser desperdiçada, nem poluída e nem envenenada! Puxa, seria legal se todo mundo respeitasse essa declaração, né?",D05 - Identificar o tema ou assunto de um texto.,"Nesse texto, no trecho “A gente tem um monte de direitos, os animais também têm, mas e a água...” o assunto de um texto é",a água.,c,"['A assustaço dos Direitos da gua.', 'Os nos so responsáveis.', 'a água.', 'A água é patrimônio do planeta.']"
Ipojuca recebe projeto de cinema itinerante com sessões gratuitas,"Serão exibidas comédias e filmes infantis nesta quarta, na quinta e sexta. Cine em Cena Brasil vai ocorrer em praça de Nossa Senhora do Ó. O Cine em Cena Brasil chega [...] para exibir longas-metragens de graça à população. O caminhão do projeto vai estacionar na Praça de Eventos Nossa Senhora do Ó, distrito de Ipojuca, e [...] vai rodar filmes de comédia e animações infantis em 3D. Estão na programação “Se Puder... Dirija!”, [...] “SOS Mulheres ao Mar”, [...] “Malévola” [...] e “Frozen – Uma Aventura Congelante” [...]. As sessões têm vagas para 225 pessoas. O projeto [...] renova a proposta de cinema itinerante.",D05 - Identificar o tema ou assunto de um texto.,"Nesse texto, no trecho “Se Puder... Dirija!” o assunto de um texto é",“Se Puder... Dirija!”,c,"['O trabalho de ""Se Puder... Dirija"" é correcto.', 'O trecho ""Si Puder..."" é um texto que é correcto.', '“Se Puder... Dirija!”', 'O trabalho de ""Se Puder... Dirija!"" é correcto.']"
-,"A expressão “chorar as pitangas”, usada no Brasil para designar o ato de chorar, lamentar ou reclamar se originou a partir de uma adaptação do antigo vocábulo português “chorar lágrimas de sangue”. Como pitanga é uma palavra de origem indígena que significa vermelho, os índios fizeram uma espécie de analogia entre a fruta e o sangue, concebendo assim a ideia por trás da expressão que conhecemos hoje em dia, isto é, de alguém que chora tanto até seus olhos ficarem avermelhados. No entanto, embora tal tese seja a mais provável para explicar a origem do termo, não é a única. Alguns alegam que o vocábulo ‘pitang’ na língua guarani significaria menino, criança, e que a expressão ‘chorar as pitangas’ teria surgido por meio de outra analogia: a de alguém chorando como criança, ou seja, demasiadamente.",D05 - Identificar o tema ou assunto de um texto.,"Nesse texto, no trecho “A expresso “chorar as pitangas” é uma palavra de assunto de",“A expresso “chorar as pitangas” é uma palavra de origem indgena...”,b,"['Os ndios fazem muito provável para explicar a origem de termo.', '“A expresso “chorar as pitangas” é uma palavra de origem indgena...”', 'Os ndios fazem muito provável para explicar a origem do termo.', 'A palavra ""chorar as pitangas"" é uma espécie de analogia entre a fruta e o sangue.']"
Viva – A vida é uma festa,"Beatriz C. Os personagens, cores, expressões, texto e a linda canção me encantaram, ao ponto de chorar com a canção. [...] A história sobre a família do Miguel é linda demais, passa como é importante acreditar um nos outros, independente de situações passadas que puderem acontecer, além [...] de dar motivações aos pequenos e adultos a correr atrás daquilo que de fato é uma vocação. Amei e verei de novo! \o/ “Lembre de mim, se esforce pra sorrir”",D03 - Inferir o sentido de uma palavra ou expressão.,"Nesse texto, no trecho “... A história sobre a famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independente de situaçes passadas que puderem acontecer, além [...] de dar motivaçies aos pequenos e adultos...” a expresso “Lembre de mim, se esforce pra sorrir” é","“... A história sobre a famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independente de situaçes passadas que puderem acontecer, além [...] de dar motivaçies aos pequenos e adultos...”.",c,"['A famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independentes de situaçes passadas que puderem acontecer, além [...] de dar motivacións aos pequenos e adultos', 'A famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independentes de situaçes passadas que puderem acontecer, além [...] de dar motivaças aos pequenos e adultos', '“... A história sobre a famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independente de situaçes passadas que puderem acontecer, além [...] de dar motivaçies aos pequenos e adultos...”.', 'A famlia do Miguel é linda demais, passa como é importante acreditar um nos outros, independentes de situaçes passadas que puderem acontecer, além [...] de dar motivaçios aos pequenos e adultos']"
O laço e o abraço,"Mr. Wickham ficou tão satisfeito com a conversação que nunca mais mencionou aquele assunto em presença de Elizabeth. Esta, por sua vez, ficou satisfeita de ter dito o suficiente para silenciá­lo. Breve chegou o dia da partida de Lydia. E Mrs. Bennet foi obrigada a se submeter à separação, que provavelmente duraria pelo menos um ano. – Oh, minha querida Lydia – exclamou ela –, quando nos tornaremos a ver? – Não sei. Daqui a dois ou três anos talvez. – Não deixe de me escrever sempre, meu bem. – Escreverei sempre que puder. [...] As despedidas de Mr. Wickham foram muito mais afetuosas do que as de sua mulher. Sorriu, fez pose, disse muitas coisas bonitas. [...] A perda da filha fez Mrs. Bennet ficar triste vários dias. – Muitas vezes penso – disse ela – que não há nada mais doloroso do que o fato de se separar dos amigos. A gente se sente tão abandonada… – A senhora deve compreender, mamãe, que isto é a consequência de casar uma filha – disse Elizabeth. – Deve ficar contente [...]Meu Deus! Como é engraçado! Eu nunca tinha reparado como é curioso um laço... uma fita dando voltas. Enrosca-se, mas não se embola, vira, revira, circula e pronto: está dado o laço. É assim que é o abraço: coração com coração, tudo isso cercado de braço. É assim que é o laço: um abraço no presente, no cabelo, no vestido, em qualquer coisa onde o faço. E quando puxo uma ponta, o que é que acontece? Vai escorregando... devagarzinho, desmancha, desfaz o abraço. Solta o presente, o cabelo, fica solto no vestido. E, na fita, que curioso, não faltou nem um pedaço. Ah! Então, é assim o amor, a amizade. Tudo que é sentimento. Como um pedaço de fita. Enrosca, segura um pouquinho, mas pode se desfazer a qualquer hora, deixando livre as duas bandas do laço. Por isso é que se diz: laço afetivo, laço de amizade. E quando alguém briga, então se diz: romperam-se os laços. E saem as duas partes, igual meus pedaços de fita, sem perder nenhum pedaço. Então o amor e a amizade são isso... Não prendem, não escravizam, não apertam, não sufocam. Porque quando vira nó, já deixou de ser um laço!",D01 - Localizar informações explícitas em um texto.,"Nesse texto, no trecho “... a perda da filha fez Mrs. Bennet ficar triste vários dias.” a informaço é",a perda da filha fez Mrs. Bennet.,b,"['Ele no tinha escrito sempre em vez.', 'a perda da filha fez Mrs. Bennet.', 'Ele pensou que ela era ajuda a separar dos amigos.', 'Ela pensava que o seu mulher era muito afetuoso.']"
A mochila de Camila,"No seu último aniversário, Camila ganhou de sua avó uma linda mochila. Uma mo- chila colorida com vários bolsos, lugar para muitas coisas e até alguns esconderijos. Além de livros e cadernos, havia tanta coisa na mochila da Camila... Dois rabicós, um azul, outro rosa, um bloquinho para anotação, caneta de escrita luminosa [...]. Um chaveiro de bonequinha [...], clips de várias cores, [...] uma escova de dentes e uma pequena sombrinha; batom sabor morango e um bilhete do Renan... Um pacote de bo- lacha recheada, [...] o lencinho bordado pela vovó... Mas na mochila da Camila, também tinham coisas que ninguém via, apenas a meni- na sentia: a felicidade de poder voltar para casa depois da escola, a alegria de poder sorrir e sonhar. [...] Na verdade, cada um carrega o que gosta na mochila e o que sonha no coração!",D01 - Localizar informações explícitas em um texto.,"Nesse texto, no trecho “... a felicidade de poder voltar para casa depois da escola, a além de livros",a felicidade de poder voltar para casa depois da escola.,b,"['a felicidade de poder voltar para casa depois da escola', 'a felicidade de poder voltar para casa depois da escola.', 'a famlia de livros e cadernos', 'a famlia de escrita luminosa']"
